Column1,Column2
2,7453
2,178
2,10252
2,501
2,3931
1,462
2,10338
1,4745
2,946
3,6922
5,1397
1,2346
5,205
4,3489
5,6559
5,8449
2,9830
5,9153
3,5759
3,4766
4,4949
4,2435
2,804
5,9728
3,8301
5,766
3,431
4,4421
5,8843
5,1778
4,9230
3,1028
5,4185
3,10422
4,9298
2,3817
3,373
3,6021
5,4384
2,8532
4,4907
1,8699
4,2653
1,6739
1,5773
1,6702
5,10293
2,3251
2,5483
5,8762
2,1619
1,11029
3,7258
2,2952
1,11057
3,3642
5,3353
3,6837
5,4995
1,9228
2,7909
4,3768
3,7650
1,11577
4,2876
4,6758
3,1863
1,4157
3,7004
4,8660
4,786
5,5547
5,6147
3,5912
4,6341
2,8512
3,11420
4,3503
1,4645
4,10967
3,9209
5,5891
3,6315
1,4883
1,3443
5,4295
4,3152
5,5594
2,211
5,899
3,6896
3,1344
1,3707
5,515
5,9927
5,2559
4,9840
3,8472
4,8838
2,2700
2,92
5,8568
2,7702
5,3686
2,10004
2,2267
3,3004
3,1683
5,2398
4,2888
1,7801
4,500
4,8598
4,5129
5,2873
2,8219
3,4265
4,292
3,8025
1,3070
5,3418
3,6043
2,7988
2,2322
5,11322
2,1590
1,1687
5,6146
2,1890
4,3377
3,2411
2,4073
2,5789
1,254
2,522
4,3623
4,11371
1,307
1,5170
2,2022
4,6477
2,11393
2,3270
3,9515
1,4949
1,9892
1,10467
1,8489
4,1525
3,3974
2,2604
1,2974
4,7298
3,5683
3,2252
5,2022
1,7048
1,3018
4,2402
3,2564
5,2744
3,2637
4,8322
1,5843
1,3179
5,4349
1,217
2,6351
2,5971
4,9745
5,2440
2,7576
2,4115
4,6678
4,8468
4,1276
2,607
5,7315
1,3760
5,3854
4,7529
2,4733
1,536
1,8008
1,514
2,202
2,3431
5,5291
5,8437
2,5162
5,11153
1,5364
1,5060
2,8608
1,8028
4,7375
3,231
1,10060
4,7001
1,2499
5,11383
3,1674
4,1061
5,8620
4,7923
2,11107
2,10103
5,1383
2,5511
2,5197
5,2418
2,5957
1,2668
1,1200
2,11369
1,6951
2,9100
1,9388
4,9072
4,8291
4,1704
1,6158
4,6711
2,563
3,8357
3,849
2,3142
3,3192
4,5686
5,2805
1,6588
2,2880
1,7634
4,6004
1,4722
5,6840
5,4021
2,6648
2,5063
5,2737
5,11214
1,494
5,5735
3,6651
1,3270
4,6975
2,9320
4,4839
4,10322
4,2398
3,3860
2,3577
1,786
3,646
2,4164
3,845
4,6375
3,30
3,7689
4,9825
5,2194
3,683
2,6061
5,4887
1,3217
4,2978
3,5402
2,6078
