1,"HUMMUS, SABRA CLASSIC",161
2,Hummus,227
3,"HUMMUS, OTHER",269
4,Hummus - NFY12140O,226
5,Hummus - NFY12140P,106
6,Hummus - NFY12140Q,190
7,Hummus - NFY12140R,0
8,Hummus - NFY12140S,183
9,Hummus - NFY12140F,99
10,Hummus - NFY12140G,58
11,"Hummus, Sabra Classic - CA1, IN",173
12,Hummus - NFY12141C,220
13,Hummus - NFY12141D,136
14,Hummus - NFY12141E,292
15,Hummus - NFY12141F,200
16,Hummus - NFY12141G,140
17,Hummus - NFY12141H,126
18,Hummus - NFY121416,166
19,"Hummus, Sabra Classic - GA, NJ",221
20,Hummus - NFY1213ZV,118
21,Hummus - NFY1213ZW,178
22,Hummus - NFY1213ZX,17
23,Hummus - NFY1213ZY,223
24,Hummus - NFY1213ZZ,4
25,Hummus - NFY121400,116
26,Hummus - NFY1213ZP,123
27,"Hummus, Sabra Classic - KY, CA2",233
28,"HUMMUS, TRIBE CLASSIC",85
29,Hummus - NFY12143C,235
30,Hummus - NFY12143D,71
31,Hummus - NFY12143E,250
32,Hummus - NFY12143F,85
33,Hummus - NFY12143G,91
34,Hummus - NFY121435,114
35,"Hummus, Tribe Classic - GA, NJ",271
36,Hummus - NFY12141W,6
37,Hummus - NFY12141X,281
38,Hummus - NFY12141Y,157
39,Hummus - NFY12141Z,78
40,Hummus - NFY121420,35
41,Hummus - NFY121421,290
42,Hummus - NFY12141P,154
43,"Hummus, Tribe Classic - KY, PA",267
44,Hummus - NFY12142M,286
45,Hummus - NFY12142N,140
46,Hummus - NFY12142O,174
47,Hummus - NFY12142P,258
48,Hummus - NFY12142Q,186
49,Hummus - NFY12142R,235
50,Hummus - NFY12142G,98
51,"Hummus, Other - AZ, IN",235
52,"MILK, 2% (WAVE 22E)",30
53,"MILK, 2% ",193
54,"Milk, 2%",294
55,"Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",115
56,"Beef, eye of round roast, raw (ER37-R-5)",232
57,"Beef, eye of round steak, raw (ES36-R-5) ",29
58,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",77
59,"Beef,  Eye of Round roast/steak, select, raw, comp13, lean (36BRERS/37BRERRS)",70
60,"Beef, eye of round roast, raw (ER37-R-10)",245
61,"Beef, eye of round roast, raw (ER37-R-11)",205
62,"Beef, eye of round roast, raw (ER37-R-16)",234
